supplierid,suppliername,supplierregion,componenttype,month,deliveries,unitsreceived,defectiveunits,defectrate,supplierrating,risk_score,risk_category
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2023-06,3,14781,300,2.036,B,1.3416000000000001,Low
SUP-0072,"Moore, Gates and Sawyer Corp",Mexico,Connectors,2024-05,16,18480,376,2.038,B,1.3732,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2025-02,16,18736,498,2.662,B,1.7964,Low
SUP-0103,Peters-Garcia Components,China,Switchgear Parts,2024-03,12,28968,400,1.384,A,0.9904,Low
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2023-09,19,10165,248,2.444,B,1.5655999999999999,Low
SUP-0080,"Hurley, Wood and Vasquez Components",Poland,Connectors,2024-01,4,10020,185,1.847,B,1.1822,Low
SUP-0126,Powell-Morris Group,Germany,Connectors,2025-11,7,6930,546,7.882,D,4.9475999999999996,Low
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2025-06,13,56056,427,0.763,A,0.6286,Low
SUP-0053,Collins Group GmbH,Poland,Plastic Components,2025-10,21,97335,2297,2.361,B,2.3354,Low
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2025-12,10,20710,1656,8.0,D,5.4624,Medium
SUP-0127,Higgins-Lambert Corp,USA,Metal Components,2025-05,21,102690,4202,4.092,C,4.135999999999999,Low
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2024-01,18,67266,1678,2.496,B,2.1688,Low
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2023-12,18,14904,657,4.414,C,2.9111999999999996,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2024-02,22,45650,868,1.904,B,1.4895999999999998,Low
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2024-10,15,27135,893,3.292,C,2.3324,Low
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2025-08,19,10583,220,2.081,B,1.3366,Low
SUP-0071,"Weber, Lawson and Hicks Corp",Germany,Connectors,2024-08,8,34336,1445,4.211,C,3.1046000000000005,Low
SUP-0116,Chen-Mills Corp,China,Metal Components,2025-09,2,6432,205,3.196,C,1.9996,Low
SUP-0146,"Anthony, Martin and Osborne GmbH",India,Plastic Components,2024-06,13,6123,488,7.982,D,4.9844,Low
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2023-10,7,7973,372,4.671,C,2.9514,Low
SUP-0113,"Garcia, Shepherd and Parrish Components",USA,Metal Components,2025-09,9,25785,1092,4.237,C,2.979,Low
SUP-0041,"Alvarado, Merritt and Little Pvt Ltd",Germany,Connectors,2024-08,8,7408,93,1.257,A,0.7913999999999999,Low
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2023-02,21,40110,1302,3.248,C,2.4696000000000002,Low
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2023-05,19,63802,3816,5.982,D,5.1156,Medium
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2025-03,21,62202,1909,3.071,C,2.6062000000000003,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2025-04,12,56928,2075,3.645,C,3.017,Low
SUP-0042,"Salinas, Nelson and Baker Components",India,Metal Components,2023-05,3,5820,332,5.707,D,3.557,Low
SUP-0013,Sanchez-Moore Components,China,Switchgear Parts,2023-04,15,40140,1604,3.998,C,3.0404,Low
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2024-05,16,20192,1443,7.147,D,4.8654,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2025-07,7,20811,349,1.68,B,1.1476,Low
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2025-07,11,42790,512,1.198,A,0.9236,Low
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2024-10,25,52150,584,1.12,A,0.9056000000000001,Low
SUP-0062,Burke-Owens Components,India,Metal Components,2025-06,15,40245,1755,4.363,C,3.3198000000000003,Low
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2024-06,24,28704,1014,3.533,C,2.5254,Low
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2024-07,10,45890,914,1.992,B,1.5608,Low
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2024-11,25,116875,3231,2.765,B,2.9514,Low
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2025-06,13,49556,1133,2.288,B,1.8259999999999998,Low
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2023-04,11,5456,61,1.125,A,0.6993999999999999,Low
SUP-0048,Jenkins-Bell Pvt Ltd,USA,Circuit Breakers,2025-08,13,44148,3222,7.299,D,5.668200000000001,Medium
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2023-11,18,76140,592,0.778,A,0.7036,Low
SUP-0128,Williams Inc GmbH,Poland,Metal Components,2025-02,2,5458,86,1.58,B,0.9823999999999999,Low
SUP-0126,Powell-Morris Group,Germany,Connectors,2023-11,5,18165,1293,7.121,D,4.7898,Low
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2023-09,20,62220,1135,1.826,B,1.5495999999999999,Low
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2023-09,12,49608,739,1.492,A,1.1908,Low
SUP-0143,Morris Ltd Group,Mexico,Connectors,2024-01,9,36738,399,1.086,A,0.8112000000000001,Low
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2025-04,15,43380,2052,4.732,C,3.66,Low
SUP-0104,Bryant Inc Group,Poland,Metal Components,2023-02,9,34722,2777,8.0,D,5.9108,Medium
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2023-05,22,25388,1331,5.244,D,3.6788,Low
SUP-0037,Davis Group Pvt Ltd,Germany,Switchgear Parts,2024-12,15,19110,1309,6.851,D,4.6342,Low
SUP-0083,Burch-Harris Components,USA,Transformers,2024-10,2,4908,122,2.504,B,1.5512,Low
SUP-0139,"Cooper, Schwartz and Edwards GmbH",Mexico,Switchgear Parts,2023-10,9,31221,2143,6.865,D,4.9761999999999995,Low
SUP-0026,"Novak, Stevens and Wheeler Manufacturing",Germany,Transformers,2023-04,21,9618,631,6.57,D,4.1944,Low
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2025-04,14,39676,1898,4.785,C,3.6302,Low
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2023-09,11,51535,1598,3.102,C,2.5004,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2024-03,19,40622,683,1.684,B,1.2836,Low
SUP-0075,White Inc Corp,India,Connectors,2024-05,6,26466,172,0.651,A,0.45940000000000003,Low
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2024-10,25,99625,1886,1.894,B,1.8907999999999998,Low
SUP-0122,"Juarez, Conway and Smith Manufacturing",India,Circuit Breakers,2023-10,6,15738,432,2.745,B,1.8198,Low
SUP-0133,Freeman Ltd Pvt Ltd,Mexico,Transformers,2025-05,18,66780,4110,6.155,D,5.337,Medium
SUP-0012,Scott-Schmidt Group,Poland,Transformers,2023-12,23,8855,265,3.0,C,1.906,Low
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2023-07,8,31072,234,0.756,A,0.5472,Low
SUP-0068,"Willis, Gonzalez and Jordan Manufacturing",China,Transformers,2024-01,22,41118,2006,4.88,C,3.7304,Low
SUP-0095,Mitchell-Boyd Components,India,Metal Components,2024-12,19,89433,7154,8.0,D,7.6616,Medium
SUP-0063,Brown-Hernandez Group,India,Circuit Breakers,2025-08,14,67704,3841,5.674,D,4.9408,Low
SUP-0112,"Martin, Ritter and Thomas Group",Poland,Transformers,2023-07,20,18320,910,4.973,C,3.3478,Low
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2024-04,24,45960,2514,5.47,D,4.287599999999999,Low
SUP-0047,Ramirez-Castro Pvt Ltd,China,Metal Components,2023-06,13,27794,2223,8.0,D,5.6892,Medium
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2025-03,4,17904,575,3.216,C,2.1596,Low
SUP-0116,Chen-Mills Corp,China,Metal Components,2023-12,22,21538,1125,5.225,D,3.585,Low
SUP-0103,Peters-Garcia Components,China,Switchgear Parts,2024-07,4,5452,67,1.234,A,0.7672,Low
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2025-05,2,6958,115,1.653,B,1.0378,Low
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2024-10,8,39984,875,2.189,B,1.6634,Low
SUP-0147,Murray Inc Manufacturing,Poland,Plastic Components,2025-03,2,5504,38,0.701,A,0.43579999999999997,Low
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2024-08,3,13080,653,4.996,C,3.2588000000000004,Low
SUP-0106,Lopez LLC Corp,Poland,Switchgear Parts,2023-03,24,87576,1284,1.467,A,1.3938000000000001,Low
SUP-0071,"Weber, Lawson and Hicks Corp",Germany,Connectors,2025-09,25,15725,709,4.513,C,2.9913999999999996,Low
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2023-01,23,85468,1908,2.233,B,2.103,Low
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2024-03,18,75780,725,0.957,A,0.8641999999999999,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2023-01,6,11772,383,3.26,C,2.1091999999999995,Low
SUP-0114,Davis and Sons Manufacturing,India,Transformers,2024-05,6,26190,323,1.235,A,0.8702,Low
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2025-12,20,26140,681,2.609,B,1.8377999999999999,Low
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2024-09,3,8946,356,3.981,C,2.5309999999999997,Low
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2025-01,16,18320,422,2.307,B,1.553,Low
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2025-12,9,35343,1765,4.994,C,3.7024,Low
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2024-11,16,44128,471,1.068,A,0.8292,Low
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2025-07,16,11776,687,5.836,D,3.7764,Low
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2025-01,4,20000,191,0.956,A,0.65,Low
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2025-12,6,26262,2100,8.0,D,5.64,Medium
SUP-0085,"Nguyen, Gross and Ramirez Components",India,Plastic Components,2023-11,17,74579,2623,3.518,C,3.16,Low
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2023-03,20,10700,621,5.811,D,3.735,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-08,20,58940,2719,4.613,C,3.8554000000000004,Low
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2025-10,4,10976,292,2.662,B,1.714,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-01,21,13713,306,2.238,B,1.4652,Low
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2024-08,17,33711,1504,4.463,C,3.2794,Low
SUP-0078,Navarro Group Manufacturing,Germany,Connectors,2024-01,21,68691,2091,3.046,C,2.664,Low
SUP-0078,Navarro Group Manufacturing,Germany,Connectors,2024-12,21,61719,1578,2.558,B,2.166,Low
SUP-0004,Hernandez Group Pvt Ltd,Mexico,Transformers,2024-01,11,25091,854,3.407,C,2.3858,Low
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2023-09,17,5134,124,2.431,B,1.5082,Low
SUP-0107,Jones PLC Pvt Ltd,India,Circuit Breakers,2024-07,25,81900,533,0.652,A,0.6044,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2025-07,11,25531,575,2.253,B,1.5818,Low
SUP-0004,Hernandez Group Pvt Ltd,Mexico,Transformers,2024-12,18,77796,2644,3.399,C,3.0970000000000004,Low
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2024-06,8,23352,1191,5.101,D,3.537,Low
SUP-0097,Campbell PLC Manufacturing,Poland,Switchgear Parts,2024-04,2,8168,266,3.265,C,2.0654,Low
SUP-0009,Terry LLC Industries,Poland,Circuit Breakers,2023-01,21,49392,1907,3.862,C,3.08,Low
SUP-0017,"Anderson, Smith and Hale Manufacturing",Poland,Switchgear Parts,2023-07,8,14096,450,3.196,C,2.0976,Low
SUP-0108,Chavez and Sons Industries,Mexico,Metal Components,2024-05,16,42560,1262,2.966,B,2.2844,Low
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2023-08,21,103614,3921,3.785,C,3.8394,Low
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2024-07,10,21830,586,2.689,B,1.8477999999999999,Low
SUP-0071,"Weber, Lawson and Hicks Corp",Germany,Connectors,2024-08,6,23124,1310,5.666,D,3.9236,Low
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2023-05,24,8640,271,3.139,C,1.9917999999999998,Low
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2023-09,14,43442,503,1.158,A,0.896,Low
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2024-10,12,8928,380,4.258,C,2.7068,Low
SUP-0072,"Moore, Gates and Sawyer Corp",Mexico,Connectors,2025-04,13,17966,564,3.144,C,2.112,Low
SUP-0027,"Patterson, Anderson and Ford Components",India,Connectors,2024-10,14,27384,1644,6.006,D,4.2612000000000005,Low
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2025-02,19,18126,176,0.975,A,0.6554,Low
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2024-06,8,22280,831,3.733,C,2.5721999999999996,Low
SUP-0107,Jones PLC Pvt Ltd,India,Circuit Breakers,2025-01,21,5607,39,0.696,A,0.4332,Low
SUP-0013,Sanchez-Moore Components,China,Switchgear Parts,2023-10,17,51085,2166,4.24,C,3.4104,Low
SUP-0083,Burch-Harris Components,USA,Transformers,2025-11,4,4032,96,2.391,B,1.4729999999999999,Low
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2024-03,23,60306,1631,2.705,B,2.2754000000000003,Low
SUP-0116,Chen-Mills Corp,China,Metal Components,2024-03,18,82548,3333,4.038,C,3.7560000000000002,Low
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2025-11,14,34944,2183,6.249,D,4.622599999999999,Low
SUP-0033,Knox-Smith Group,India,Connectors,2023-05,22,50094,3302,6.592,D,5.276,Medium
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2024-02,2,4254,216,5.084,D,3.1367999999999996,Low
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2023-05,9,22212,339,1.529,B,1.053,Low
SUP-0147,Murray Inc Manufacturing,Poland,Plastic Components,2025-06,2,8852,63,0.723,A,0.45899999999999996,Low
SUP-0113,"Garcia, Shepherd and Parrish Components",USA,Metal Components,2025-10,6,21414,1296,6.055,D,4.1514,Low
SUP-0076,"Waters, Castillo and Smith Pvt Ltd",Germany,Metal Components,2025-11,13,14573,845,5.805,D,3.8209999999999997,Low
SUP-0078,Navarro Group Manufacturing,Germany,Connectors,2023-11,22,86262,2547,2.954,B,2.7912,Low
SUP-0142,Campbell and Sons Industries,USA,Transformers,2023-02,9,19359,1415,7.311,D,4.9525999999999994,Low
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2025-11,12,15132,157,1.038,A,0.6856,Low
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2025-10,12,30000,826,2.756,B,1.9839999999999998,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2024-07,11,18689,487,2.609,B,1.7602,Low
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2024-05,5,21365,1103,5.164,D,3.5396,Low
SUP-0078,Navarro Group Manufacturing,Germany,Connectors,2025-02,13,16926,415,2.455,B,1.639,Low
SUP-0126,Powell-Morris Group,Germany,Connectors,2025-04,10,24310,1483,6.103,D,4.255,Low
SUP-0104,Bryant Inc Group,Poland,Metal Components,2025-12,16,26272,2036,7.75,D,5.4643999999999995,Medium
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2023-02,17,30668,2453,8.0,D,5.7812,Medium
SUP-0087,Taylor Ltd Corp,Germany,Connectors,2025-03,16,31616,1355,4.288,C,3.1148,Low
SUP-0139,"Cooper, Schwartz and Edwards GmbH",Mexico,Switchgear Parts,2025-01,25,39700,2135,5.38,D,4.082,Low
SUP-0062,Burke-Owens Components,India,Metal Components,2025-12,8,21056,1071,5.087,D,3.4805999999999995,Low
SUP-0045,Garcia-Deleon Corp,China,Switchgear Parts,2025-09,19,6650,51,0.77,A,0.48239999999999994,Low
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2023-05,16,9648,101,1.05,A,0.6704,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2025-10,14,64638,1696,2.625,B,2.2534,Low
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2025-02,10,39860,2430,6.098,D,4.6308,Low
SUP-0106,Lopez LLC Corp,Poland,Switchgear Parts,2024-06,23,36731,428,1.167,A,0.8714000000000001,Low
SUP-0094,"Berry, Barr and Alexander Pvt Ltd",Poland,Transformers,2024-01,9,14976,822,5.489,D,3.6221999999999994,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2024-11,15,62085,1571,2.531,B,2.1470000000000002,Low
SUP-0093,Roach-Jackson Corp,China,Plastic Components,2024-05,11,22341,212,0.95,A,0.6547999999999999,Low
SUP-0031,Miller and Sons Corp,China,Connectors,2023-04,5,13640,525,3.856,C,2.5235999999999996,Low
SUP-0069,Soto-Powell GmbH,Poland,Switchgear Parts,2025-04,8,7824,94,1.204,A,0.7599999999999999,Low
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2024-01,13,33852,764,2.259,B,1.661,Low
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2025-11,25,64775,878,1.356,A,1.1648,Low
SUP-0067,Woods-Liu Group,China,Transformers,2024-07,17,9418,371,3.947,C,2.5166,Low
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2025-07,11,35585,337,0.949,A,0.7041999999999999,Low
SUP-0103,Peters-Garcia Components,China,Switchgear Parts,2023-12,16,52240,640,1.227,A,0.9922000000000001,Low
SUP-0126,Powell-Morris Group,Germany,Connectors,2024-12,23,45770,3661,8.0,D,6.2644,Medium
SUP-0012,Scott-Schmidt Group,Poland,Transformers,2025-03,21,53991,991,1.836,B,1.498,Low
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2023-11,19,60724,1606,2.645,B,2.2294,Low
SUP-0066,Lopez and Sons Corp,China,Connectors,2024-08,15,39420,1972,5.004,D,3.7912,Low
SUP-0009,Terry LLC Industries,Poland,Circuit Breakers,2023-07,13,61269,1924,3.141,C,2.6542,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2023-06,2,4242,77,1.817,B,1.1209999999999998,Low
SUP-0062,Burke-Owens Components,India,Metal Components,2023-01,23,58443,2095,3.586,C,2.9896,Low
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2024-03,13,22542,1284,5.697,D,3.9318,Low
SUP-0107,Jones PLC Pvt Ltd,India,Circuit Breakers,2024-02,21,18942,224,1.185,A,0.8006,Low
SUP-0065,Garrison Group Industries,Mexico,Transformers,2024-06,11,31163,1305,4.19,C,3.0360000000000005,Low
SUP-0031,Miller and Sons Corp,China,Connectors,2023-10,11,49291,2134,4.33,C,3.4516,Low
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2025-08,2,9422,439,4.667,C,2.9758,Low
SUP-0042,"Salinas, Nelson and Baker Components",India,Metal Components,2025-11,9,32580,1357,4.168,C,3.0436,Low
SUP-0128,Williams Inc GmbH,Poland,Metal Components,2024-09,20,35020,349,0.998,A,0.7384,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-06,10,27390,444,1.625,B,1.1526,Low
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2024-10,20,61620,4809,7.805,D,6.6066,Medium
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2024-12,14,48020,3841,8.0,D,6.3364,Medium
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2024-02,10,42100,463,1.1,A,0.8452000000000001,Low
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2024-08,22,22660,599,2.648,B,1.8284,Low
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2023-07,20,10280,161,1.567,B,1.0046,Low
SUP-0042,"Salinas, Nelson and Baker Components",India,Metal Components,2024-12,18,59112,4403,7.45,D,6.231199999999999,Medium
SUP-0068,"Willis, Gonzalez and Jordan Manufacturing",China,Transformers,2025-11,11,12914,502,3.895,C,2.5378,Low
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2025-11,13,35984,1777,4.939,C,3.6742,Low
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2023-01,7,6804,121,1.79,B,1.1224,Low
SUP-0127,Higgins-Lambert Corp,USA,Metal Components,2024-03,10,47500,1846,3.886,C,3.07,Low
SUP-0020,Parker-Meadows Group,Poland,Circuit Breakers,2023-12,25,114700,1812,1.58,B,1.6728,Low
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2025-07,14,21154,804,3.801,C,2.6022000000000003,Low
SUP-0042,"Salinas, Nelson and Baker Components",India,Metal Components,2023-07,23,27163,1189,4.378,C,3.1024,Low
SUP-0127,Higgins-Lambert Corp,USA,Metal Components,2025-10,22,41360,1814,4.386,C,3.3572,Low
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2023-03,14,67648,1519,2.247,B,1.9558,Low
SUP-0095,Mitchell-Boyd Components,India,Metal Components,2024-07,8,39512,3087,7.814,D,5.9232,Medium
SUP-0067,Woods-Liu Group,China,Transformers,2025-06,17,48246,1521,3.153,C,2.5002,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2024-08,7,10920,363,3.332,C,2.1444,Low
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2025-05,24,12624,393,3.119,C,2.0286,Low
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2023-11,4,13000,371,2.86,B,1.8644,Low
SUP-0048,Jenkins-Bell Pvt Ltd,USA,Circuit Breakers,2025-02,16,33152,2225,6.714,D,4.9184,Low
SUP-0012,Scott-Schmidt Group,Poland,Transformers,2023-04,16,79392,2059,2.594,B,2.38,Low
SUP-0024,"Miles, Perez and Johnson Pvt Ltd",Germany,Plastic Components,2023-07,25,42900,347,0.811,A,0.6254000000000001,Low
SUP-0001,Fowler-Bell Manufacturing,USA,Transformers,2025-08,17,44030,834,1.894,B,1.4699999999999998,Low
SUP-0052,Marshall-Wilkins Industries,China,Metal Components,2025-01,21,84315,4147,4.919,C,4.6102,Low
SUP-0093,Roach-Jackson Corp,China,Plastic Components,2023-07,3,1728,18,1.1,A,0.6672,Low
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2025-05,16,66256,3098,4.676,C,4.0448,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2025-02,23,62192,1162,1.869,B,1.5861999999999998,Low
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2023-10,18,52920,1212,2.292,B,1.8599999999999999,Low
SUP-0061,Cox Ltd Corp,USA,Metal Components,2025-08,3,12957,596,4.606,C,3.002,Low
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2025-07,18,41166,289,0.704,A,0.5379999999999999,Low
SUP-0107,Jones PLC Pvt Ltd,India,Circuit Breakers,2023-10,21,10353,64,0.618,A,0.3964,Low
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2025-09,18,14760,443,3.008,C,1.982,Low
SUP-0031,Miller and Sons Corp,China,Connectors,2025-12,12,9948,696,6.998,D,4.4772,Low
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2023-10,4,14260,469,3.291,C,2.1622,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-11,19,67849,1170,1.725,B,1.503,Low
SUP-0072,"Moore, Gates and Sawyer Corp",Mexico,Connectors,2025-05,18,10368,271,2.62,B,1.6804000000000001,Low
SUP-0127,Higgins-Lambert Corp,USA,Metal Components,2025-01,22,26070,1200,4.606,C,3.2436,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2023-04,6,18810,340,1.812,B,1.2231999999999998,Low
SUP-0122,"Juarez, Conway and Smith Manufacturing",India,Circuit Breakers,2024-09,10,8220,351,4.278,C,2.7072,Low
SUP-0066,Lopez and Sons Corp,China,Connectors,2024-05,22,15224,877,5.765,D,3.8097999999999996,Low
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-06,22,84392,2270,2.69,B,2.522,Low
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2024-08,5,10570,366,3.468,C,2.2272,Low
SUP-0086,"Jones, Hodge and Ortiz Components",India,Transformers,2024-01,11,13739,658,4.79,C,3.1372,Low
SUP-0085,"Nguyen, Gross and Ramirez Components",India,Plastic Components,2024-09,6,11556,384,3.328,C,2.1504,Low
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2025-04,22,42922,1982,4.618,C,3.5636,Low
SUP-0044,Jones-Quinn Pvt Ltd,Mexico,Switchgear Parts,2025-09,17,62390,569,0.913,A,0.7754,Low
SUP-0075,White Inc Corp,India,Connectors,2024-12,13,39793,239,0.601,A,0.4562,Low
SUP-0028,"Oconnor, Cole and Mata Corp",China,Circuit Breakers,2025-03,14,30716,252,0.823,A,0.5946,Low
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2024-03,5,6705,232,3.475,C,2.1778,Low
SUP-0065,Garrison Group Industries,Mexico,Transformers,2025-04,17,29070,1498,5.156,D,3.6928,Low
SUP-0142,Campbell and Sons Industries,USA,Transformers,2025-06,3,8310,302,3.637,C,2.303,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2025-11,17,27472,924,3.365,C,2.3886000000000003,Low
SUP-0039,Adams Inc Components,Germany,Metal Components,2025-07,10,32340,392,1.214,A,0.8852,Low
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2024-02,19,55556,2744,4.94,C,4.0616,Low
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2023-03,18,11016,536,4.87,C,3.1364,Low
SUP-0097,Campbell PLC Manufacturing,Poland,Switchgear Parts,2023-07,15,18240,414,2.275,B,1.5306,Low
SUP-0104,Bryant Inc Group,Poland,Metal Components,2024-12,23,76360,5856,7.669,D,6.9437999999999995,Medium
SUP-0004,Hernandez Group Pvt Ltd,Mexico,Transformers,2023-11,4,9876,268,2.715,B,1.7361999999999997,Low
SUP-0143,Morris Ltd Group,Mexico,Connectors,2024-06,12,7332,42,0.577,A,0.36299999999999993,Low
SUP-0061,Cox Ltd Corp,USA,Metal Components,2023-08,15,51855,2197,4.238,C,3.4216,Low
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2025-06,14,21672,135,0.627,A,0.43019999999999997,Low
SUP-0043,Sampson-Anderson Corp,Poland,Switchgear Parts,2023-11,21,32466,1771,5.458,D,3.9832,Low
SUP-0033,Knox-Smith Group,India,Connectors,2023-04,7,12873,777,6.037,D,3.933,Low
SUP-0106,Lopez LLC Corp,Poland,Switchgear Parts,2024-03,14,19068,282,1.482,A,1.002,Low
